(be) subject to ～,～を受けやすい、～に陥りやすい
 refinement[名],精練、洗練、上品
 refrain[動],差し控える
 refugee[名],難民、避難者
 refund[動],払い戻す
 refund[名],払い戻し、返金
 regarding[前],～に関して、～に関する
 regime[名],（政治の）体制、（強圧的な）政権
 register[動],登録する、登記する
 register[名],登録（表）、レジ
 regularly[副],定期的に、規則正しく
 regulate[動],調整する、調節する、規制する
 regulation[名],規制、規則
 rehabilitate[動],修復する、回復させる
 rehearse[動],下稽古をする
 reinforce[動],補強する、強化する
 reject[動],拒否する、拒絶する、却下する
 relatively[副],比較的
 relentlessly[副],容赦なく
 relevant[形],関連性のある、適切な
 reliable[形],信頼性のある、頼りになる
 reliance[名],依存、信頼、信用
 relic[名],遺跡、遺品、名残
 relief[名],安堵、安心、（苦痛などの）緩和/除去
 relieve[動],安心させる、（痛み、不安などを）軽減する/和らげる
 religious[形],宗教的な、宗教に関する
 relocate[動],移転させる、引っ越す
 reluctance[名],気が進まないこと、不本意
 reluctant[形],乗り気でない、渋っている、気が進まない
 remainder[名],残り、余り
 remaining[形],残りの
 remarkable[形],注目に値する、目立った
 remedy[名],治療、矯正
 reminder[名],思い出させるためのもの／合図／注意
 remittance[名],送金、送金額
 remnant[名],残り、余り
 remodel[動],改造する、リフォームする
 removal[名],除去、移動
 remuneration[名],報酬、給料
 renew[動],更新する、延長する、修復する
 renovate[動],改装する
 renovation[名],改装
 renowned[形],有名な、著名な
 repay[動],（金銭を）返す、報いる
 repel[動],追い払う
 replenish[動],補給する、補充する
 replicate[動],複製する、模写する
 representative[名],担当者、代表者
 reproduce[動],複製する、生殖する、再生する
 reputation[名],評判
 requirement[名],必需品、必要条件
 reschedule[動],スケジュール変更する
 resemble[動],～に似ている
 resent[動],憤慨する
 resentful[形],憤慨している
 reservoir[名],貯水池、貯蔵所
 resident[名],住民、住人
 residential[形],住宅向きの、寄宿生の
 resign[動],辞職する、退く
 resignation[名],辞任
 resist[動],抵抗する
 resistant[形],抵抗力のある
 resolute[形],断固とした、意志の固い
 resonance[名],反響、響き、余韻
resort to ～,（手段として）～に訴える、～にたよる
 resort[名],リゾート、保養地、行楽地
 resource[名],資源、供給源
 respectively[副],それぞれ
 respondent[名],回答者
 responsible[形],責任のある、担当している
 responsive[形],（～に）敏感な、よく反応する
 restore[動],回復させる、復旧させる
 restrain[動],制止する、抑制する
 restrict[動],制限する
 resume[動],再開する
 resume[名],要約、レジュメ、履歴書
 resurgence[名],再燃
 retail[動],小売りする
 retail[形],小売の、小売商の
 retailer[名],小売り業者
 retain[動],維持する、保つ
 retaliation[名],報復
 retreat[動],退く、退却する
 retrieve[動],回収する、取ってくる、検索する
 returnee[名],帰国子女、（海外からの）帰還軍人、復職者
 reveal[動],明らかにする、（外部に）漏らす
 revelation[名],驚くべき新事実、暴露
 revenue[名],収入、歳入
 reverse[動],逆にする、逆転させる
 reverse[名],反対、逆
 revise[動],修正する、改訂する
 revive[動],生き返らせる、復活させる
 revoke[動],取り消す、無効にする
 revolt[動],反逆する
 revolt[名],反乱
 revolve[動],回転する
 rhetoric[名],修辞（法）
 riddle[名],謎
 ridicule[動],あざ笑う、からかう
 rigid[形],堅い、厳格な
 rigorous[形],厳格な、厳密な、正確な
 riot[名],暴動
 riot[名],暴動を起こす
 rite[名],儀式、典礼
 ritual[名],儀式
 rivalry[名],競争する（張り合う）こと
 roam[動],歩き回る
 roster[名],名簿、登録簿、当番表
 rot[名],腐敗
 rotate[動],回転する、回転させる、自転する
 rotten[形],腐った、朽ちた
 roughly[副],おおよそ、概略で
 routine[名],決められた動作（方法）、（習慣的に）繰り返されるもの、日課
 routine[形],決まりきった、日常の
 rubbish[名],ごみ、くず、がらくた
 rural[形],田舎の、農村の
 rusty[形],さびた
 ruthlessly[副],情け容赦なく
 sacrifice[動],犠牲にする
 sacrifice[名],犠牲
 salute[動],敬礼する、（公に）賞賛する
 sanction[名],制裁
 sanctuary[名],自然（鳥獣）保護区、聖域
 sanitation[名],（公衆）衛生、衛生設備
 sarcastic[形],皮肉な
 satellite[名],衛星
 savor[動],心行くまで楽しむ
 scam[名],詐欺、ペテン
 scan[動],ざっと目を通す、注意深く調べる、スキャンする
 scant[形],乏しい、不十分な
 scanty[形],わずかな、乏しい
 scarce[形],乏しい、不十分な
 scarcity[名],不足、欠乏、希少性
 scatter[動],散らばる、分散させる、まき散らす
 scheme[名],計画、企み、枠組み
 scholarship[名],奨学金、育英資金、学識
 scope[名],範囲、領域
 scorn[動],嘲笑する、軽蔑する
 scramble[動],かき混ぜる、よじ登る、緊急発進する
 scrap[動],捨てる、廃棄する、解体する
 scribble[動],殴り書きをする
 script[名],原稿、台本、文字
 scrub[動],（ゴシゴシと）磨く、洗う
 scrutinize[動],綿密に調べる
 scrutiny[名],綿密な調査、精査、監視、じろじろと見ること
 secluded[形],人目に付かない、人里離れた
 seclusion[名],隔離、孤立、引きこもること
 sector[名],部分、部門
 secure[形],安全な、保証された
 segment[名],部分、区切り
 segregate[動],分離する
 seize[動],捕まえる、襲う、占拠する、奪う
 selective[形],選択の厳格な、えり好みする
 semester[名],学期、半期
 seniority[名],年功(序列)
 sensation[名],感覚、世間を沸かせるもの
 sensitive[形],敏感な、繊細な
 sentence[動],〜に判決を下す
 sentence[名],判決、刑罰、処罰
 sequel[名],続編
 sequence[名],一連（のもの）、連続
 serene[形],穏やかな
 session[名],（会議、活動の）期間、集まり、会合
 setback[名],妨げ、逆転、後退
 settlement[名],定住（地）、入植（地）、開拓（地）
 sewage[名],下水、汚水
 shallow[形],浅い
 shatter[動],打ち砕く、粉砕する
 shelter[動],避難する
 shelter[名],シェルター、避難所、住まい
 shield[動],保護する、かばう
 shield[名],盾、防御物
 shift[動],（位置などを）移す、変える
 shift[名],変化、変更、変わり目、(勤務の）交替
 shipment[名],積み荷、貨物
 shoplift[動],万引きする
 shortage[名],不足、不足額
 shortcoming[名],欠点、短所
 shortfall[名],不足、未達
 shove[動],（手荒く）押す、突く
 shrewd[形],賢い、抜け目のない
 shriek[動],悲鳴を上げる、金切り声を出す
 shrink[動],縮む、縮まる、縮小する、減少する
 shrink[名],縮む、縮まる、縮小する、減少する
 shrug[動],肩をすくめる
 shudder[動],身震いする
 sideshow[名],つけたしの出し物、余興、付随的な出来事
 significance[名],重要性、意味、意義
 signify[動],意味する、表す
 simulate[動],ふりをする、模擬実験する
 simultaneous[形],同時の
 sincerity[名],誠実
singular[形],珍しい、風変わりな、単独の
 site[名],現場、敷地、用地、場所
 sizzle[動],ジュージューと音を立てる
 skeleton[名],骨格、骸骨
 skeptical[形],懐疑的な、疑い深い
 skid[動],（車が）スリップする
 skim[動],すくい取る、すばやく概要を読み取る、すいすい泳ぐ
 skull[名],頭蓋骨、頭
 slack[形],不景気な、たるんだ
 slant[動],傾ける、歪曲する
 slant[名],傾斜、傾斜地
 slash[動],切る、切り下げる、（値段、予算を）削減する
 slaughter[動],虐殺する
 slaughter[名],虐殺、食肉処理
 slavery[名],奴隷制度
 sluggish[形],のろい、緩慢な、活気のない
 slump[動],急に落ち込む、暴落する
 slump[名],スランプ、落ち込み
 sly[形],悪賢い
 smuggle[動],密輸する
 snatch[動],ひったくる、強奪する、誘拐する
 sneak[動],こそこそする、ずるをする、そっと歩く
 soak[動],浸す、びしょ濡れにする
 sob[名],すすり泣き
 socialize[動],社会生活に適応させる、社交的に交際する
 solemn[形],厳粛な
 solitude[名],ひとりでいること、孤独
 solution[名],解決、解決策
 soothing[形],なだめる、落ち着かせる、緩和させる
 sophisticated[形],洗練された、教養のある、(機械などが)高性能な
 spacecraft[名],宇宙船
 spacious[形],広々とした、ゆったりした
 spark[動],引き起こす、活気づける
 spark[名],火花
 sparsely[副],まばらに、わずかに
 species[名],（生物の）種
 specific[形],特定の、明確な、具体的な
 specify[動],明示する、特定する
 specimen[名],標本、見本
 spectacular[形],壮観な、見事な、見ごたえのある
 spectator[名],（スポーツなどの）観客
 speculate[動],推測する、熟考する
 spell[名],呪文
 sphere[名],球、球体
 spiral[名],らせん、連鎖的変動
 spite[名],悪意、意地悪
 splinter[動],砕ける、ばらばらになる
 spoil[動],（子供などを）甘やかす
 spontaneous[形],自発的な、自然発生的な
 spot[動],見つける、気付く
 spot[名],地点、個所
 spotless[形],非のうちどころがない、しみ/汚れのない
 sprain[動],くじく、捻挫する
 sprain[名],ねんざ
 sprout[動],芽を出す
 squat[動],しゃがむ、うずくまる
 squeeze[動],押し込む、絞る、圧搾する
 stability[名],安定、安定性
 stable[形],安定した、不変の
 stack[動],積み重ねる
 stack[名],積み重ね、堆積、図書館の書架
 stage[動],（劇などを）上演する、（催しを）開催する
 stagger[動],仰天させる
 stance[名],スタンス、立場
 standby[名],（いざというとき）頼りになる人、交替要員
 standby[形],予備の、待機中の、キャンセル待ちの
 startle[動],びっくりさせる
 starve[動],飢えに苦しむ、餓死する
 stationary[形],静止した、動かない
 statistics[名],統計、統計学
 status[名],地位、立場
 steer[動],操縦する、かじを取る、（人）を導く
 stem[名],茎、幹
 stereotypical[形],型どおりの、ステレオタイプな
 sterile[形],無菌の、不毛の、子を生まない
 stern[形],厳しい、厳格な
 stimulate[動],刺激する
 stingy[形],けちな
 stoically[副],平然と、冷静に
 stoop[動],かがむ
 storage[名],（物の）貯蔵、保管
 storm[動],襲撃する
 stout[形],がっしりした、頑丈な
 straightforward[形],率直な、正直な
 strain[動],負担をかける、緊張させる
 strain[名],緊張、重圧、負担
 strand[名],より糸、ひも
 strategy[名],戦略
 stray[動],はぐれる、迷う
 strenuous[形],精力的な、骨の折れる、激しい
 strive[動],努力する
 stroll[動],ぶらつく、ぶらぶら歩く
 structure[名],構造（物）
 struggle[動],あがく、もがく、奮闘する
 struggle[名],奮闘、努力、もがき
 stubborn[形],頑固な
 stuff[名],物（事）
 stumble[動],つまずく、よろける
 stunned[形],あぜんとした
 sturdy[形],頑丈な、丈夫な
subject[名],題材、テーマ、被写体、対象者（被験者）
 subjective[形],主観的な
 sublime[形],崇高な
 submerge[動],沈む、沈める、浸す
 submission[名],提出物、提出
 submissive[形],従順な
 submit[動],提出する
 subordinate[形],下位の、従属している
 subscription[名],予約購読、定期購読
 subsequent[形],その後の、次の
 subsidize[動],補助金を支給する
 subsidy[名],補助金、助成金
 subsist[動],生計を立てる、（どうにか）生きていく
 substandard[形],基準以下の
 substantial[形],かなりの、相当の
 substitute[動],代用する、代わりになる
 substitute[名],代用品、代理人
 subtle[形],微妙な、かすかな、気付きづらい
 subtract[動],差し引く、減じる
 successor[名],後継者
 sue[動],告訴する、訴える
 sufferer[名],苦しむ人、被災者
 sufficient[形],十分な
 summon[動],呼び出す、召喚する、出頭を命ずる
 superficial[形],表面的な、うわべの
 superfluous[形],余分な
 supernatural[形],超自然の、不可思議な
 superpower[名],超大国
 superstition[名],迷信
 supervice[動],（英）監督する
 supervise[動],監督する
 supplement[動],補う、補足する
 supplement[名],栄養補助剤
 suppress[動],抑制する、抑圧する、鎮圧する
 surgery[名],手術
 surpass[動],～を上回る、～に優る、超える
 surplus[名],余剰、黒字
 surrounding[名],（~s）周囲の状況、環境
 surrounding[形],近辺の、周囲の
 surveillance[名],監視、見張り、偵察
 survey[動],調査する、見渡す
 survey[名],調査
 susceptible[形],（to ～の形で）～の影響を受けやすい、～に感染しやすい
 susceptible[形],(～の)影響を受けやすい、(～に)感染しやすい　(to ～)
 suspend[動],一時中止する、停職（停学）処分にする
 suspicion[名],疑い、疑惑、猜疑心
 suspicious[形],（人が）疑って、疑い深い、（物が）疑わしい
 sustain[動],維持する、支える
 sustainable[形],持続可能な、維持できる、環境に優しい
 swamp[名],沼地、低湿地
 swap[動],交換する
 swarm[名],大群
 sway[動],揺れる、揺れ動く
 sweep[動],掃く、一掃する
 sweep[動],（ある地域に）広がる、素早く通過する
 swell[動],膨張する、腫れる、（数量が）増大する
 swerve[動],急に向きを変える
 symbolize[動],象徴する、象徴化する
 sympathize[動],同情する
 symptom[名],症状、徴候
 synchronize[動],同時性を持つ、同期する
 syndrome[名],症候群
 synthetic[形],合成された、合成の
 tackle[動],取り組む、立ち向かう
 tactfully[副],如才なく
 tactical[形],戦術的な
 taint[動],傷つける、汚す
 tame[動],調教する、飼い馴らす
 tame[形],（動物などが）飼い慣らされた、おとなしい
 tangible[形],有形の、触れることのできる、目に見える、明らかな
 tariff[名],関税
 tease[動],からかう、いじめる
 technically[副],厳密に言えば、専門的に
 tedious[形],冗長な、（長くて）退屈な
 tedium[名],退屈
 telescope[名],望遠鏡
 temper[名],（かっとなる）気質、気性
 temperament[名],気質
 temporary[形],一時的な、臨時の
 tempt[動],引きつける、誘惑する、する気にさせる
 tempting[形],心をそそる
 tender[形],優しい
 tense[形],ぴんと張った、緊張した
 tentative[形],仮の、暫定的な、不確かな
 terminate[動],終わらせる、やめる、首にする
 terrain[名],地形、地勢、地域
 testament[名],遺言、立証するもの、証（あかし）、聖書
 testify[動],証言する
 testimony[名],証言
 theft[名],窃盗（罪）
 therapy[名],療法、セラピー
 thereby[副],それによって、その結果
 thesis[名],論文、主題
 thorough[形],徹底的な、完全な
 threat[名],脅威、脅し
 threaten[動],脅迫する、危険にさらす
 thrive[動],成功する、繁栄する、目標を達成する
 tickle[動],くすぐる
 timid[形],臆病な
 timidity[名],臆病な様
tip[動],傾く、傾ける
 tip[名],アドバイス、コツ、役立つ情報
 tissue[名],（生物の）組織
 token[名],しるし
 tolerable[形],耐えられる、我慢できる、まずまずの
 tolerance[名],容認、寛容、耐性
 toll[名],被害、損害、死傷者
 torment[動],悩ます
 torture[動],～に拷問を加える、～をひどく苦しめる、悩ます
 torture[名],拷問
 touchy[形],怒りっぽい、扱いにくい、気難しい
 toxic[形],有毒な
 trace[動],跡を追う、たどる
 trace[名],痕跡、足跡
 tragic[形],悲劇的な
 trait[名],特性、特色
 traitor[名],裏切り者、反逆者
 tranquil[形],のどかな、静かな、穏やかな
 transaction[名],（商）取引
 transcription[名],書き起こし、写本
 transform[動],変化させる、変質させる
 transient[名],渡り労働者、流れ者
 transmit[動],伝える、知らせる、送信する
 transparent[形],透明な、隠しだてのない
 transplant[動],移植する
 transplant[名],移植
 transportation[名],交通手段、輸送（機関）
 traumatic[形],精神的外傷を引き起こす
 treacherous[形],裏切りの、不誠実な
 treatment[名],処置、治療、待遇
 treaty[名],（国家間の）条約、協定
 trek[動],トレッキングをする、徒歩旅行
 tremendous[形],莫大な、すさまじい
 trespass[動],不法侵入する、侵害する
 trial[名],試み、挑戦
 trial[名],裁判、審理
 trial[形],試みの、試験的な
 tribute[名],賛辞、貢ぎ物
 trigger[動],引き起こす、もたらす、引き金となる
 trigger[名],引き金
 trim[動],手入れする、刈り込む
 trim[形],こぎれいな
 triumph[名],勝利
 trivial[形],ささいな、取るに足りない、平凡な
 troop[名],部隊、兵隊
 tuition[名],授業料
 tumble[名],転倒、（株価などの）暴落
 turbulence[名],大荒れ、動乱、乱気流
 turnover[名],離職率
 twitch[動],ぐいと引く、痙攣（けいれん）させる、痙攣する
 typify[動],～の典型となる、代表例となる
 tyrant[名],専制君主
 ultimately[副],最終的に、結局は
 unanimous[形],満場一致の
 unconditional[形],無条件の
 uncover[動],暴く、明るみに出す、暴露する
 uncovered[形],おおいのない、暴露された
 underdressed[形],くだけ過ぎる服装をした
 underestimate[動],過小評価する
 underfed[形],栄養不良の、栄養失調の
 undergo[動],（苦痛などを）経験する、（検査などを）受ける
 undermine[動],徐々にむしばむ、弱体化させる
 undertake[動],引き受ける、請け負う、着手する
 unearth[動],掘り出す、発掘する、明るみに出す
 unexpected[形],思いがけない、予期しない、意外な
 unfold[動],開く、広げる、展開する
 unification[名],統合、統一
 uniquely[副],比類なく、独特に
 unison[名],ユニゾン、斉唱、（動作などの）一致
 unperturbed[形],動揺しない、沈着な、落ち着いた
 unravel[動],解明される、明らかになる
 unsociable[形],非社交的な
 unveil[動],発表する、公表する、覆いを取る
 unwanted[形],望まれていない、不要の
 unwittingly[副],無意識に、知らず知らずに
 upbringing[名],（子供の）養育、しつけ
 upcoming[形],今度の、来たるべき
 update[動],最新のものに更新する
 update[名],最新情報
 upgrade[動],等級を上げる、品質を改良する、格上げする
 upgrade[名],改良、アップグレード
 upheaval[名],大変動、激変
 uphold[動],維持する、守る
 upscale[形],高所得者向けの、高級な
 upstage[動],（共演者）より自分を目立たせる
 uptight[形],神経質な、ピリピリした
 upturn[名],好転、上昇
 urban[形],都市の、都会の
 urge[動],せきたてる、強く促す
 urge[名],衝動、本能
 urgency[名],緊急
 usher[動],案内する
 utensil[名],家庭(台所)用品
 utility[名],(複)（水道、ガスなどの）公益事業
 utility[形],多用途の
 utmost[形],最大限の、最高の
 utterance[名],口に出すこと、発言、発声
 vacant[形],空いている、使われていない
 vacate[動],立ち退く、明け渡す、辞任する
vaccine[名],ワクチン
 valid[形],妥当な、有効な、正当な
 validate[動],妥当性を立証する、法的に有効にする
 validation[名],立証、公認
 validity[名],妥当性、効力
 valuation[名],査定、評価額
 vandalism[名],(公共物の)破壊、器物損壊
 vandalize[動],（故意に）破壊する
 variable[形],変わりやすい、移り気な
 vary[動],変動する、さまざまである
 vast[形],広大な、非常に大きな
 vault[動],跳ねる、飛び越える
 vault[名],金庫室、地下納骨室、丸天井
 vegetation[名],植物、植生
 veil[名],ベール、覆い隠すもの
 ventilation[名],換気、風通し
 venture[名],冒険、冒険的事業
 venue[名],開催地、会場
 verbal[形],言葉の、口頭の
 verify[動],証明する、確認する、検証する
 versatile[形],多才な、多用途の、融通が利く
 verse[名],韻文
 vessel[名],船、大型船、船舶
 viable[形],実現可能な、実行可能な、存続可能な
 vibrant[形],響き渡る、反響する、活気に満ちた
 vicinity[名],近隣、付近
 vicious[形],悪い、悪徳の、凶暴な
 vigorous[形],精力的な、活力にあふれた、積極的な
 violate[動],違反する
 violation[名],違反
 virtually[副],事実上、実際上、ほとんど
 virtue[名],美徳、長所
 virtuous[形],有徳の、貞淑な
 virus[名],ウイルス
 vital[形],きわめて重要な、不可欠の、生命に関する
 vivid[形],鮮明な、鮮やかな、生き生きとした
 vocation[名],天職
 vocational[形],職業の
 void[名],喪失感、真空空間
 void[形],無効の、空っぽの
 voluntarily[副],自発的に、自主的に
 vomit[動],吐く、嘔吐する
 voucher[名],引換券
 vow[動],誓う、公約する、断言する
 vulgar[形],下品な、低俗な
 vulnerable[形],弱い、傷つきやすい
 wage[名],賃金
 warehouse[名],倉庫
 warrant[動],保証する、正当な理由となる
 warranty[名],保証、保証書
 watchful[形],用心深い
 wealth[名],富、財産、豊富さ
 weary[形],疲れ果てた、うんざりした
 weld[動],溶接する
 welfare[名],福祉、福利厚生、幸福
 well-being[名],福祉、健康で安心なこと
 well-off[形],裕福な
 whereas[接],～だが一方、～であるのに対して
 whine[動],泣く、泣きごとを言う
 wholesale[副],卸売り（値）で
 wholesale[形],卸の、大量の
 wholesome[形],健康に良い、健康的な
 wholly[副],完全に、すっかり
 widespread[形],広範囲にわたる、広く普及した
 withdraw[動],（現金を）引き出す、撤退する
 withdrawal[名],撤回、撤退、離脱
 wither[動],しおれる、弱まる
 withhold[動],保留する、知らせずにおく、（税金などを）差し引く、差し控える、抑える
 withstand[動],抵抗する、持ちこたえる、逆らう、耐える
 witless[形],知恵のない、愚かな
 witness[動],目撃する、直面する、経験する
 witness[名],目撃者、証人
 witty[形],機知に富んだ
 workforce[名],労働力、全従業員、労働人口
 workout[名],トレーニング、運動、体操
 workplace[名],職場、作業場
 worsen[動],悪化する、悪化させる
 wreck[名],難破、難破船、残骸
 wretched[形],みじめな、みすぼらしい
 yardstick[名],基準、尺度
 yearn[動],切望する
 yield[動],～をもたらす、産出する
 yield[名],収穫高、生産量、収益
 zeal[名],熱意
